,mda_round,beta,cr_factor,mda_coverage,strategy,b_drug
301,0,0.0508,1,0.8,ABA,DHAPPQ
302,0,0.0508,1,0.8,ABB,DHAPPQ
303,0,0.0508,1,0.8,AAB,KAFLUM
304,0,0.0508,1,0.8,ABA,KAFLUM
305,0,0.0508,1,0.8,ABB,KAFLUM
306,0,0.0508,1,0.9,AAB,DHAPPQ
307,0,0.0508,1,0.9,ABA,DHAPPQ
308,0,0.0508,1,0.9,ABB,DHAPPQ
309,0,0.0508,1,0.9,AAB,KAFLUM
310,0,0.0508,1,0.9,ABA,KAFLUM
311,0,0.0508,1,0.9,ABB,KAFLUM
312,0,0.0508,2,0.6,AAB,DHAPPQ
313,0,0.0508,2,0.6,ABA,DHAPPQ
314,0,0.0508,2,0.6,ABB,DHAPPQ
315,0,0.0508,2,0.6,AAB,KAFLUM
316,0,0.0508,2,0.6,ABA,KAFLUM
317,0,0.0508,2,0.6,ABB,KAFLUM
318,0,0.0508,2,0.7,AAB,DHAPPQ
319,0,0.0508,2,0.7,ABA,DHAPPQ
320,0,0.0508,2,0.7,ABB,DHAPPQ
321,0,0.0508,2,0.7,AAB,KAFLUM
322,0,0.0508,2,0.7,ABA,KAFLUM
323,0,0.0508,2,0.7,ABB,KAFLUM
324,0,0.0508,2,0.8,AAB,DHAPPQ
325,0,0.0508,2,0.8,ABA,DHAPPQ
326,0,0.0508,2,0.8,ABB,DHAPPQ
327,0,0.0508,2,0.8,AAB,KAFLUM
328,0,0.0508,2,0.8,ABA,KAFLUM
329,0,0.0508,2,0.8,ABB,KAFLUM
330,0,0.0508,2,0.9,AAB,DHAPPQ
331,0,0.0508,2,0.9,ABA,DHAPPQ
332,0,0.0508,2,0.9,ABB,DHAPPQ
333,0,0.0508,2,0.9,AAB,KAFLUM
334,0,0.0508,2,0.9,ABA,KAFLUM
335,0,0.0508,2,0.9,ABB,KAFLUM
336,0,0.0508,5,0.6,AAB,DHAPPQ
337,0,0.0508,5,0.6,ABA,DHAPPQ
338,0,0.0508,5,0.6,ABB,DHAPPQ
339,0,0.0508,5,0.6,AAB,KAFLUM
340,0,0.0508,5,0.6,ABA,KAFLUM
341,0,0.0508,5,0.6,ABB,KAFLUM
342,0,0.0508,5,0.7,AAB,DHAPPQ
343,0,0.0508,5,0.7,ABA,DHAPPQ
344,0,0.0508,5,0.7,ABB,DHAPPQ
345,0,0.0508,5,0.7,AAB,KAFLUM
346,0,0.0508,5,0.7,ABA,KAFLUM
347,0,0.0508,5,0.7,ABB,KAFLUM
348,0,0.0508,5,0.8,AAB,DHAPPQ
349,0,0.0508,5,0.8,ABA,DHAPPQ
350,0,0.0508,5,0.8,ABB,DHAPPQ
351,0,0.0508,5,0.8,AAB,KAFLUM
352,0,0.0508,5,0.8,ABA,KAFLUM
353,0,0.0508,5,0.8,ABB,KAFLUM
354,0,0.0508,5,0.9,AAB,DHAPPQ
355,0,0.0508,5,0.9,ABA,DHAPPQ
356,0,0.0508,5,0.9,ABB,DHAPPQ
357,0,0.0508,5,0.9,AAB,KAFLUM
358,0,0.0508,5,0.9,ABA,KAFLUM
359,0,0.0508,5,0.9,ABB,KAFLUM
360,0,0.0508,10,0.6,AAB,DHAPPQ
361,0,0.0508,10,0.6,ABA,DHAPPQ
362,0,0.0508,10,0.6,ABB,DHAPPQ
363,0,0.0508,10,0.6,AAB,KAFLUM
364,0,0.0508,10,0.6,ABA,KAFLUM
